"","iso_code","country_name","world_region","past_cases","date","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","StringencyLegacyIndex","StringencyLegacyIndexForDisplay","GovernmentResponseIndex","GovernmentResponseIndexForDisplay","ContainmentHealthIndex","ContainmentHealthIndexForDisplay","EconomicSupportIndex","EconomicSupportIndexForDisplay"
"160","TUR","Turkey","Europe",1358.2,2020-07-29,943.6,15.6,11.188,0.1852,57033.75,0.67625,50208,0.595,NA,42.59,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,229891,5674,2725.795,67.276,NA,NA,"3","1","1","1","2","1","0",NA,"1","1","2","1","1","1","3","2","0","2","0","0","2","1","2","2","0","0",NA,"199906","5131","63.89","63.89","80.95","80.95","70.51","70.51","67.42","67.42","87.5","87.5"
"161","TWN","Taiwan","Asia and the Pacific",0,2020-07-29,1.8,0,0.0756,0,240.6,0.01,178.6,0.0076,NA,19.44,23816775,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,80.46,467,7,19.608,0.294,81826,3.436,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"3","1","0","1","0","0","2","1","3","2","0","0",NA,NA,NA,"19.44","19.44","25","25","34.62","34.62","34.09","34.09","37.5","37.5"
"162","TZA","Tanzania","Africa",0,2020-07-29,0,0,0,0,NA,NA,NA,NA,NA,19.44,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,509,21,8.521,0.352,NA,NA,"0",NA,"0",NA,"1","1","3","1","0",NA,"0",NA,"0",NA,"0","0",NA,"0","0","0","1","1","0","1","0","0",NA,"509","21","19.44","19.44","20.95","20.95","17.31","17.31","20.45","20.45","0","0"
"163","UGA","Uganda","Africa",13.6,2020-07-29,8.8,0.2,0.1922,0.0044,2632,0.0575,2176.75,0.0475,NA,76.85,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,1147,2,25.076,0.044,NA,NA,"3","1","2","1","2","1","4","1","2","0","2","1","2","0","2","0",NA,"1","0","0","2","1","1","1","0","0",NA,"1075","0","79.63","79.63","77.38","77.38","65.38","65.38","72.73","72.73","25","25"
"164","UKR","Ukraine","Europe",998,2020-07-29,973,16.6,22.2484,0.3796,13115.8,0.3,12935.8,0.2958,NA,NA,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,68794,1673,1573.018,38.254,1029220,23.534,"2","1","1","0","0",NA,"0",NA,"1","0","1","1","2","0","1","1","0","1","0","0","2","1","2","2","0","0",NA,"44998","1173","37.96","37.96","46.43","46.43","44.87","44.87","46.21","46.21","37.5","37.5"
"165","URY","Uruguay","Latin America and the Caribbean",5.8,2020-07-29,13.8,0.2,3.9728,0.0576,1987,0.572,2043.25,0.588,NA,NA,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,77.91,1243,35,357.829,10.076,NA,NA,"0",NA,"0","1","0",NA,"0",NA,"0","1","0","1","0","1","2","1","0","2","0","0","2","1","1","1","0","0",NA,"1009","28","16.67","16.67","21.43","21.43","27.56","27.56","21.21","21.21","62.5","62.5"
"166","USA","United States","North America",42424.4,2020-07-29,63397.4,1122,191.5314,3.3898,743867,2.2475,811694.5,2.45225,NA,68.98,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,4495014,152070,13579.994,459.422,NA,NA,"3","0","2","0","2","0","4","0","1","0","2","0","2","0","3","2","0","1","0","0","2","1","3","1","0","0",NA,"2634432","127410","68.98","68.98","68.57","68.57","68.91","68.91","70.08","70.08","62.5","62.5"
"167","UZB","Uzbekistan","Asia and the Pacific",279.8,2020-07-29,666.4,5,19.9106,0.149,NA,NA,NA,NA,NA,NA,33469199,76.134,28.2,4.469,2.873,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,71.72,23558,137,703.871,4.093,NA,NA,"2","1","2","1","2","1","3","1","1","1","2","0","1","0","3","0",NA,"2","0","0","2","1","1","2","0","0",NA,"8627","26","67.59","67.59","77.38","77.38","64.74","64.74","67.42","67.42","50","50"
"168","VEN","Venezuela","Latin America and the Caribbean",253.8,2020-07-29,719.2,4.8,25.292,0.1688,NA,NA,NA,NA,NA,NA,28435943,36.253,29,6.614,3.915,16745.022,NA,204.85,6.47,NA,NA,NA,0.8,72.06,17859,158,628.043,5.556,NA,NA,"3","1","3","0","2","1","4","1","2","0","2","0","2","0","4","0",NA,"2","0","0","2","1","3","0","0","0",NA,"12774","120","87.04","87.04","86.9","86.9","75.64","75.64","80.3","80.3","50","50"
"169","VNM","Vietnam","Asia and the Pacific",0.6,2020-07-29,18.8,0,0.1932,0,NA,NA,NA,NA,NA,62.5,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,509,0,5.229,0,NA,NA,"0","0","2","1","1","1","3","1","1","1","0","0","1","1","3","1","1","0","0","0","2","1","3","2","0","0",NA,"373","0","51.85","51.85","66.19","66.19","55.13","58.97","60.61","60.61","25","50"
"170","YEM","Yemen","West Asia",16.4,2020-07-29,10.4,2.6,0.3486,0.0874,NA,NA,NA,NA,NA,31.48,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,1726,487,57.869,16.328,NA,NA,"3","1","1","1","0","1","0",NA,"0",NA,"0","0","0","0","4","0",NA,"0","0","0","1","1","0","0","0","0",NA,"1654","461","31.48","31.48","45.24","45.24","21.79","21.79","25.76","25.76","0","0"
"171","ZAF","South Africa","Africa",6566.8,2020-07-29,9593.8,231.4,161.7604,3.9018,36067.75,0.608,41568,0.70075,NA,NA,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,482169,7812,8129.82,131.718,NA,NA,"2","1","2","1","2","1","3","1","1","1","2","1","2","1","4","1","1","2","0","0","2","1","3","2","0","0",NA,"151209","2657","80.56","80.56","88.1","88.1","82.69","82.69","84.09","84.09","75","75"
"172","ZMB","Zambia","Africa",19.4,2020-07-29,245.4,3.8,13.3486,0.2068,NA,NA,NA,NA,NA,NA,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,5555,149,302.166,8.105,NA,NA,"2","1","2","1","1","1","3","1","0",NA,"0",NA,"1","1","2","0",NA,"1","0","0","2","1","1","2","0","0",NA,"1895","42","50.93","50.93","63.81","63.81","49.36","49.36","53.79","53.79","25","25"
"173","ZWE","Zimbabwe","Africa",8,2020-07-29,131.6,3.8,8.8542,0.2556,1446.25,0.0975,1957.75,0.1315,NA,80.56,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,3092,53,208.034,3.566,NA,NA,"3","1","1","1","2","1","3","1","1","1","1","1","2","1","4","1","1","0","0","0","2","1","1","1","0","0",NA,"1034","7","76.85","76.85","88.1","88.1","63.46","63.46","70.45","70.45","25","25"
