"","iso_code","country_name","world_region","past_cases","date","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","StringencyLegacyIndex","StringencyLegacyIndexForDisplay","GovernmentResponseIndex","GovernmentResponseIndexForDisplay","ContainmentHealthIndex","ContainmentHealthIndexForDisplay","EconomicSupportIndex","EconomicSupportIndexForDisplay"
"40","CRI","Costa Rica","Latin America and the Caribbean",155,2020-07-29,538,8.4,105.612,1.6488,1674.5,0.32875,1613.25,0.3165,NA,73.61,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,17290,140,3394.113,27.483,NA,NA,"3","1","2","1","2","1","3","0","0",NA,"1","1","2","1","4","1","1","1","0","0","2","1","1","1","0","0",NA,"3459","17","73.61","73.61","82.14","82.14","65.06","65.06","67.8","67.8","50","50"
"41","CUB","Cuba","Latin America and the Caribbean",4,2020-07-29,23.8,0,2.1014,0,3433,0.303,3204.25,0.28275,NA,58.33,11326616,110.408,43.1,14.738,9.719,NA,NA,190.968,8.27,17.1,53.3,85.198,5.2,78.8,2597,87,229.283,7.681,NA,NA,"3","1","0","0","2","1","4","1","0","0","0","0","2","1","1","0",NA,"2","0","0","2","1","1","2","0","0",NA,"2446","87","58.33","58.33","60.71","60.71","58.33","58.33","59.85","59.85","50","50"
"42","CYP","Cyprus","Europe",1.2,2020-07-29,6.2,0,7.0786,0,NA,NA,NA,NA,NA,52.78,875899,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,80.98,1084,19,1237.586,21.692,NA,NA,"2","1","0",NA,"1","1","2","1","1","1","1","1","1","1","3","2","1","2","0","0","2","1","3","2","0","0",NA,"999","19","52.78","52.78","64.29","64.29","67.31","67.31","61.36","61.36","100","100"
"43","CZE","Czech Rep.","Europe",216.8,2020-07-29,226,2.2,21.104,0.2054,7201.25,0.6725,5449.75,0.50925,NA,NA,10708982,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,79.38,16342,379,1526.009,35.391,NA,NA,"1","1","1","0","1","1","1","0","0",NA,"0",NA,"1","0","3","2","0","1","0","0","2","1","2","2","0","0",NA,"11954","352","34.72","37.5","50","50","46.47","48.4","43.56","45.83","62.5","62.5"
"44","DEU","Germany","Europe",433.8,2020-07-29,511.8,3.2,6.1086,0.0384,NA,NA,NA,NA,NA,38.056,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,207828,9134,2480.523,109.018,NA,NA,"0","0","0","0","2","1","3","0","0",NA,"0",NA,"0",NA,"3","2","0","0","0","0","2","1","3","1","0","0",NA,"198963","9118","37.5","37.5","39.29","39.29","43.27","43.27","44.32","44.32","37.5","37.5"
"45","DJI","Djibouti","Africa",9.4,2020-07-29,8.4,0,8.502,0,NA,NA,NA,NA,NA,42.59,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,NA,1.4,67.11,5081,58,5142.702,58.704,NA,NA,"2","1","2","1","1","1","3","1","0",NA,"0",NA,"0",NA,"4","1","0","1","0","0","2","1","3","2","0","0",NA,"4955","56","50.93","50.93","61.43","61.43","50.64","50.64","59.85","59.85","37.5","37.5"
"46","DMA","Dominica","Latin America and the Caribbean",0,2020-07-29,0,0,0,0,NA,NA,NA,NA,NA,NA,71991,98.567,NA,NA,NA,9673.367,NA,227.376,11.62,NA,NA,NA,3.8,75,18,0,250.031,0,NA,NA,"3","1","0",NA,"1","1","2","1","0",NA,"0",NA,"0",NA,"4","1","1","2","0","0","2","1","3","2","0","0",NA,"18","0","44.44","44.44","52.38","52.38","57.69","57.69","54.55","54.55","75","75"
"47","DNK","Denmark","Europe",26.4,2020-07-29,57.4,0.4,9.9098,0.0692,16333,2.81975,15986.75,2.76025,NA,60.19,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,13725,615,2369.565,106.177,NA,NA,"2","1","2","1","1","1","2","1","1","1","1","1","1","1","3","2","0","2","0","0","2","1","3","2","0","0",NA,"12832","609","60.19","60.19","75","75","70.51","70.51","67.42","67.42","87.5","87.5"
"48","DOM","Dominican Rep.","Latin America and the Caribbean",685.4,2020-07-29,1403.8,18.2,129.4074,1.6776,NA,NA,NA,NA,NA,75,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,67915,1146,6260.656,105.643,NA,NA,"3","1","2","1","2","1","3","1","1","1","1","1","2","1","2","1","1","0","0","0","2","1","2","1","0","0",NA,"32568","747","75","75","84.52","84.52","64.74","64.74","71.97","71.97","25","25"
"49","DZA","Algeria","Africa",292.4,2020-07-29,613.4,10.8,13.9882,0.2462,NA,NA,NA,NA,NA,NA,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,29831,1200,680.28,27.365,NA,NA,"3","1","2","1","2","1","3","1","0",NA,"2","0","2","0","4","0",NA,"2","0","0","2","1","1","2","0","0",NA,"17808","988","74.07","74.07","77.38","77.38","69.23","69.23","72.73","72.73","50","50"
"50","ECU","Ecuador","Latin America and the Caribbean",655.2,2020-07-29,866.8,30,49.1298,1.7004,2397.8,0.1362,2173,0.1232,NA,NA,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,84370,5657,4782.05,320.636,181594,10.293,"3","1","2","0","2","1","3","1","2","0","2","1","2","0","4","1","1","2","0","0","2","1","3","1","0","0",NA,"56432","4527","82.41","82.41","84.52","84.52","80.13","80.13","81.06","81.06","75","75"
"51","EGY","Egypt","Africa",1436.2,2020-07-29,434.8,43.2,4.249,0.4224,NA,NA,NA,NA,NA,NA,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,93757,4774,916.183,46.651,NA,NA,"2","1","2","1","2","1","1","1","1","1","1","1","2","1","0","1","1","1","0","0","2","1","2","2","0","0",NA,"81158","3769","60.19","60.19","73.81","73.81","62.18","62.18","64.39","64.39","50","50"
